target,method,n,n_correct,auc,auc_lo,auc_hi,auc_valid_bootstraps,pcc_continuous,pcc_continuous_lo,pcc_continuous_hi,pcc_continuous_valid_bootstraps,pcc_binary,pcc_binary_lo,pcc_binary_hi,pcc_binary_valid_bootstraps,hide_minus_baseline_auc,hide_minus_baseline_auc_lo,hide_minus_baseline_auc_hi,hide_minus_baseline_auc_valid_bootstraps,pcc_with_hide,pcc_with_hide_lo,pcc_with_hide_hi,pcc_with_hide_valid_bootstraps,model,dataset
sentence_similarity,HIDE_score,2986,277,0.7663524313259852,0.7370005155969558,0.7953102103856231,2000,0.3873142992106837,0.35597791947004503,0.4203897020169093,2000,0.2969701677631391,0.2578844073760051,0.3350726134822331,2000,0.0,0.0,0.0,2000,1.0,0.9999999999999998,1.0000000000000002,2000,gemma-2-9b,SQuAD
sentence_similarity,Omega,2986,277,0.8467762892244464,0.82488835994723,0.8677361557442725,2000,0.44846111643188363,0.4223946694457876,0.4733492044521455,2000,0.3000355747493486,0.27837684949781105,0.3212845960710503,2000,-0.08042385789846118,-0.10484946568241642,-0.055898445253092725,2000,0.5814954046160988,0.5661856894534214,0.5957555166023114,2000,gemma-2-9b,SQuAD
sentence_similarity,Delta_in,2986,277,0.593697569140437,0.5614693105764378,0.6268890484202378,2000,0.1730316032291529,0.13890368518902427,0.20748615187331734,2000,0.07425888077453818,0.042334451779552036,0.10603312804528385,2000,0.17265486218554815,0.12486736115536584,0.217417875769496,2000,0.2678072795547595,0.23496359938033667,0.3000922043848929,2000,gemma-2-9b,SQuAD
sentence_similarity,negative_Delta_in,2986,277,0.4063024308595629,0.37311095157976215,0.4385306894235622,2000,-0.1730316032291529,-0.20748615187331737,-0.13890368518902432,2000,-0.07425888077453818,-0.10603312804528386,-0.04233445177955204,2000,0.36005000046642227,0.31638409294535774,0.4044555941631371,2000,-0.2678072795547595,-0.300092204384893,-0.23496359938033667,2000,gemma-2-9b,SQuAD
sentence_similarity,negative_mnll,2986,277,0.6437693315369413,0.6179639081185402,0.6685975410960656,2000,0.10094709481797431,0.06933813988968772,0.13337209227919677,2000,0.1567516708851275,0.13559383572118458,0.17722619373629617,2000,0.12258309978904391,0.08007233960841938,0.16630193139275545,2000,-0.27021027413197707,-0.3010491051642572,-0.23788382253794108,2000,gemma-2-9b,SQuAD
sentence_similarity,negative_energy,2986,277,0.3019111319002176,0.2701857320784402,0.3330590964784333,2000,-0.12899241955922613,-0.1625525422155106,-0.0923392462916201,2000,-0.21192415120634409,-0.25046076361851677,-0.17509991570298766,2000,0.46444129942576756,0.4264560256081376,0.5054550392626423,2000,0.23893502993872603,0.2018421143260749,0.276198484843909,2000,gemma-2-9b,SQuAD
sentence_similarity,constant_kernel_control,2986,277,0.7631581051528998,0.7354353677250893,0.7913715165638204,2000,0.3867845196412434,0.35514060438402467,0.4197203870269014,2000,0.296215801739246,0.2575981749253022,0.3347715522552454,2000,0.003194326173085349,-0.0033472933113120077,0.009599171154049135,2000,0.9994867572344464,0.9994289828390872,0.9995462399539591,2000,gemma-2-9b,SQuAD
sentence_similarity,negative_output_length,2986,277,0.8121837490488317,0.7861501204077698,0.8362132279519907,2000,0.3260543373485837,0.30040384690234606,0.3503147873220742,2000,0.17306565226468462,0.16094120038997875,0.1840238720268709,2000,-0.04583131772284654,-0.06121565774413118,-0.030725908171885002,2000,0.4260371893988885,0.41328734151145474,0.43899214141780557,2000,gemma-2-9b,SQuAD
rouge_l,HIDE_score,2986,447,0.7345367523897887,0.7100738273342996,0.7584431904331612,2000,0.39370586449875045,0.36003480943061233,0.4278367535494786,2000,0.30559000125549995,0.2683461888410457,0.34001074160047023,2000,0.0,0.0,0.0,2000,1.0,0.9999999999999998,1.0000000000000002,2000,gemma-2-9b,SQuAD
rouge_l,Omega,2986,447,0.8309961909645768,0.8142935169824129,0.8478029000617001,2000,0.5366731726305908,0.5197597294497693,0.5527566402043173,2000,0.3562966840086196,0.33623917910991324,0.3753167412981791,2000,-0.09645943857478811,-0.11604974304640173,-0.07805715162888782,2000,0.5814954046160988,0.5661856894534214,0.5957555166023114,2000,gemma-2-9b,SQuAD
