target,method,n,n_correct,auc,auc_lo,auc_hi,auc_valid_bootstraps,pcc_continuous,pcc_continuous_lo,pcc_continuous_hi,pcc_continuous_valid_bootstraps,pcc_binary,pcc_binary_lo,pcc_binary_hi,pcc_binary_valid_bootstraps,hide_minus_baseline_auc,hide_minus_baseline_auc_lo,hide_minus_baseline_auc_hi,hide_minus_baseline_auc_valid_bootstraps,pcc_with_hide,pcc_with_hide_lo,pcc_with_hide_hi,pcc_with_hide_valid_bootstraps,model,dataset
sentence_similarity,HIDE_score,5928,2007,0.7540750957468803,0.739598153938566,0.7691448618413796,2000,0.48119898228860136,0.4615865054415089,0.5012998405295478,2000,0.4305994678753768,0.40632131344729727,0.45630397776147574,2000,0.0,0.0,0.0,2000,0.9999999999999999,0.9999999999999999,1.0000000000000002,2000,gemma-2-9b,SQuAD
sentence_similarity,Omega,5928,2007,0.8568415925540892,0.8473789098558258,0.8666199211462166,2000,0.6286147047205538,0.6142019239348036,0.6437556331053003,2000,0.4978961575247727,0.4860638105481555,0.5107134498143565,2000,-0.10276649680720895,-0.11712252171995115,-0.08781015256510638,2000,0.5552867634482792,0.5401967727971131,0.5707350615304202,2000,gemma-2-9b,SQuAD
sentence_similarity,Delta_in,5928,2007,0.5474727131398178,0.531807397258771,0.5632100493418768,2000,0.13711615102339972,0.11230690301680665,0.16325157742110874,2000,0.07761280875724455,0.053521811844116834,0.1037760046975991,2000,0.20660238260706243,0.1860249104071158,0.22806011459938075,2000,0.13973017506922172,0.11338342319956314,0.16622387984035386,2000,gemma-2-9b,SQuAD
sentence_similarity,negative_Delta_in,5928,2007,0.4525272868601822,0.43678995065812326,0.468192602741229,2000,-0.13711615102339972,-0.16325157742110874,-0.11230690301680667,2000,-0.07761280875724455,-0.10377600469759911,-0.05352181184411687,2000,0.3015478088866981,0.2806384134457727,0.3238177382481371,2000,-0.13973017506922172,-0.16622387984035386,-0.11338342319956314,2000,gemma-2-9b,SQuAD
sentence_similarity,negative_mnll,5928,2007,0.4728811312916905,0.4584972644854408,0.4881336354497445,2000,-0.08212480011946362,-0.106817209212803,-0.055882557919007626,2000,-0.024329647233730635,-0.04850163914010055,-0.0007678105536181812,2000,0.28119396445518974,0.260498266206016,0.3037378520573032,2000,-0.22924155655763478,-0.2565553047603339,-0.2015368676836532,2000,gemma-2-9b,SQuAD
sentence_similarity,negative_energy,5928,2007,0.5205470600411948,0.5049358765632022,0.5361455421587273,2000,0.06372159387569894,0.03867014292713929,0.09065560772344168,2000,0.004926527150865225,-0.021611052890553137,0.03198783606801344,2000,0.23352803570568548,0.21266256561214258,0.2555464126233398,2000,0.25653800210726485,0.23449228374510084,0.27864234216677575,2000,gemma-2-9b,SQuAD
sentence_similarity,constant_kernel_control,5928,2007,0.7541866664836805,0.7398574904194071,0.7692579622702321,2000,0.4814678069760174,0.46178679366403,0.5015391470298265,2000,0.4311928125239792,0.40702589087400964,0.456922221302473,2000,-0.00011157073680023721,-0.0011590515750925152,0.0010089000090545389,2000,0.9988165529272803,0.9985617980536071,0.9990498252147292,2000,gemma-2-9b,SQuAD
sentence_similarity,negative_output_length,5928,2007,0.8506218416618093,0.8409093736786579,0.8603069145711905,2000,0.43316263230126895,0.4162688929749567,0.449997920904229,2000,0.29130310716260466,0.2827992640038085,0.30020382239659366,2000,-0.09654674591492907,-0.11001912327906029,-0.08254916753425767,2000,0.34928188654322206,0.34015288691253676,0.3588991793506775,2000,gemma-2-9b,SQuAD
rouge_l,HIDE_score,5928,2473,0.7689094902223317,0.7552780541672365,0.7821258882391304,2000,0.4918894420372017,0.46760905535061065,0.5153878951020355,2000,0.46430358459998144,0.44118177752684895,0.4876539255427812,2000,0.0,0.0,0.0,2000,0.9999999999999999,0.9999999999999999,1.0000000000000002,2000,gemma-2-9b,SQuAD
rouge_l,Omega,5928,2473,0.8639590061813753,0.8550322544325026,0.8730935036925512,2000,0.6368171276188973,0.6252031677675371,0.6489475797894481,2000,0.5483112439113372,0.5363528152428733,0.5611436143940741,2000,-0.09504951595904365,-0.10839825410983063,-0.08167414152059546,2000,0.5552867634482792,0.5401967727971131,0.5707350615304202,2000,gemma-2-9b,SQuAD
