model,dataset,source,base_s,capture_s,score_s,total_s,overhead_s,n_queries,n_measurements,excluded,overhead_pct,mean_per_query_overhead_pct,p50_total_s,p95_total_s,capture_overhead_s,bookkeeping_s,total_s_lo,total_s_hi,overhead_s_lo,overhead_s_hi,overhead_pct_lo,overhead_pct_hi,parameter_count,hidden_size,num_hidden_layers,mean_input_length,max_input_length,mean_output_length,max_output_length,mean_peak_gpu_allocated_bytes,max_peak_gpu_allocated_bytes,mean_peak_gpu_reserved_bytes,max_peak_gpu_reserved_bytes
gemma-2-27b,SQuAD,/Users/anwoy/Desktop/HIDE/outputs/optimus-review-merged-01/timing/gemma-2-27b_SQuAD.jsonl,4.198922920188247,4.199838064103389,0.19231827027241974,4.395840631731164,0.19691771154291904,200,600,0,4.6897196087155315,17.890605231168834,1.5371840829029675,22.746691487729546,0.0009151439151420249,0.003684297355355276,3.503990903029006,5.327334161055138,0.16438557795947392,0.2365048787219176,3.5548811396709357,6.340431287278569,27227128320,4608,46,186.2,746.0,45.645,256.0,54957921730.56,55442464768.0,55548470886.4,55780048896.0
gemma-2-27b,nq_open,/Users/anwoy/Desktop/HIDE/outputs/optimus-review-merged-01/timing/gemma-2-27b_nq_open.jsonl,1.1389249260149277,1.1420491841070666,0.07624400671493835,1.2195432151202106,0.08061828910528329,200,600,0,7.078455064405767,15.114688013692653,0.6266326922923321,2.32730283124838,0.0031242580921388985,0.001250024298205657,0.9449763737919473,1.5962528053989902,0.07510179981715386,0.08644502742117,5.442995076617166,9.090588017200542,27227128320,4608,46,21.145,31.0,12.145,256.0,54595203929.6,54701498368.0,54698481199.78667,54731472896.0
gemma-2-9b,SQuAD,/Users/anwoy/Desktop/HIDE/outputs/optimus-review-merged-01/timing/gemma-2-9b_SQuAD.jsonl,3.321448264795667,3.344595959677051,0.24481131725401295,3.5927085201038667,0.2712602553082007,200,600,0,8.166927005406434,43.720494795107825,1.034456443507224,21.507322958926668,0.02314769488138424,0.0033012431728025593,2.7429990200931793,4.542657684213231,0.21967218826121324,0.32730905956130774,5.998565017243954,11.457964967885495,9241705984,3584,42,186.2,746.0,39.29,256.0,18910627431.253334,19232766464.0,19363951629.65333,19572719616.0
gemma-2-9b,nq_open,/Users/anwoy/Desktop/HIDE/outputs/optimus-review-merged-01/timing/gemma-2-9b_nq_open.jsonl,1.946532042620239,1.949724041966255,0.3756795056140978,2.327469139655586,0.3809370970353482,200,600,0,19.570039880903597,29.954571236572583,1.772442844463512,4.608346194447948,0.0031919993460158835,0.002065592075233269,1.9924930964056398,2.751107699445197,0.32215796027057036,0.44942173393338475,15.887115567967827,24.125629403831095,9241705984,3584,42,21.145,31.0,22.155,256.0,18614059484.16,18686579200.0,18686505123.84,18704498688.0
llama3-3b,SQuAD,/Users/anwoy/Desktop/HIDE/outputs/optimus-review-merged-01/timing/llama3-3b_SQuAD.jsonl,1.2641529171805213,1.2709226522796477,0.19122913054190552,1.4641724437622663,0.2000195265817452,200,600,0,15.822415458080407,60.50544688665936,0.6025167799089095,9.631753953057341,0.006769735099126484,0.0020206609407130427,1.1074386700194632,1.8408643032931533,0.1740635001937041,0.22787134162689687,12.36837645853151,21.177176871538695,3212749824,3072,28,186.47,729.0,33.44,256.0,6517591454.72,6803764736.0,6924638617.6,7031750656.0
llama3-3b,nq_open,/Users/anwoy/Desktop/HIDE/outputs/optimus-review-merged-01/timing/llama3-3b_nq_open.jsonl,0.6215200169283586,0.6288916304327234,0.07884950250619976,0.7089643624261952,0.08744434549783624,200,600,0,14.069433504330043,28.781184492713205,0.5022102086804805,1.4286331470357252,0.007371613504364882,0.0012232294872719929,0.5688010262408836,0.8838313079654663,0.0776466850187276,0.10015154377402066,11.626654359691315,17.18825922269366,3212749824,3072,28,20.305,29.0,17.345,256.0,6448152276.48,6522073600.0,6595340315.306666,6616514560.0
llama3-8b,SQuAD,/Users/anwoy/Desktop/HIDE/outputs/optimus-review-merged-01/timing/llama3-8b_SQuAD.jsonl,0.9277345733049637,0.9330191356362775,0.22411682588436302,1.158727167538212,0.23099259423324806,200,600,0,24.898564835237252,76.44660152900043,0.6045365212485191,3.6352330225985487,0.005284562331313802,0.0015912060175715392,0.9160990006092083,1.4353090910896227,0.19434589292656115,0.27515662041211375,18.52906243466698,34.93456875585242,8030261248,4096,32,186.47,729.0,21.395,256.0,16174560348.16,16551909376.0,16708272128.0,16892559360.0
llama3-8b,nq_open,/Users/anwoy/Desktop/HIDE/outputs/optimus-review-merged-01/timing/llama3-8b_nq_open.jsonl,0.7906401881598868,0.7902890778263095,0.09136232502137576,0.883174625798904,0.0925344376390175,200,600,0,11.703735659374903,29.344844758637038,0.5713637135922905,1.750567960343323,-0.00035111033357726473,0.0015232229512187612,0.7000843183809969,1.0970639766312076,0.07644011754831649,0.11061603198093709,8.479214181138785,15.848228174616423,8030261248,4096,32,20.305,29.0,20.5,256.0,16087935406.08,16187715584.0,16369277992.96,16376659968.0
